Year,State,District,Awards,Funding
2024,AR,Total,24,"$9,769,552"
2024,,Summary for California by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,CA,2,2,"$840,140"
2024,CA,4,41,"$17,141,823"
2024,CA,8,1,"$571,691"
2024,CA,11,184,"$136,873,393"
2024,CA,12,50,"$28,565,438"
2024,CA,13,3,"$851,788"
2024,CA,14,5,"$1,499,999"
2024,CA,15,8,"$24,898,027"
2024,CA,16,112,"$83,822,912"
2024,CA,17,7,"$3,746,799"
2024,CA,18,2,"$293,000"
2024,CA,19,12,"$3,703,350"
2024,CA,20,1,"$175,000"
2024,CA,24,4,"$2,321,494"
2024,CA,28,9,"$8,522,145"
2024,CA,29,1,"$1,000,000"
2024,CA,30,16,"$11,865,181"
2024,CA,31,14,"$9,967,071"
2024,CA,32,4,"$2,263,990"
2024,CA,34,1,"$397,931"
2024,CA,35,2,"$248,037"
2024,CA,36,80,"$107,938,031"
2024,CA,37,22,"$12,099,915"
2024,CA,39,13,"$5,775,233"
2024,CA,40,2,"$1,068,993"
2024,CA,42,2,"$5,070,309"
2024,CA,44,9,"$9,531,669"
2024,CA,45,1,"$131,248"
2024,CA,47,66,"$63,739,281"
2024,CA,49,5,"$3,550,957"
2024,CA,50,177,"$156,294,382"
2024,CA,51,14,"$7,996,211"
2024,CA,Total,870,"$712,765,438"
2024,,Summary for Colorado by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,CO,1,14,"$11,462,598"
2024,CO,2,62,"$31,627,381"
2024,CO,6,89,"$33,730,226"
2024,CO,7,2,"$491,685"
2024,CO,Total,167,"$77,311,890"
2024,,Summary for Connecticut by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,CT,2,7,"$3,088,223"
2024,CT,3,132,"$57,246,918"
2024,CT,4,3,"$1,571,664"
2024,CT,5,16,"$6,488,230"
2024,CT,Total,158,"$68,395,035"
2024,,Summary for Delaware by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,DE,At-Large,5,"$1,823,160"
2024,DE,Total,5,"$1,823,160"
2024,,Summary for District Of Columbia by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,DC,98,51,"$30,003,968"
2024,DC,Total,51,"$30,003,968"
2024,,Summary for Florida by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,FL,2,9,"$3,896,671"
2024,FL,3,47,"$27,646,876"
2024,FL,10,11,"$3,284,729"
2024,FL,15,19,"$8,074,796"
2024,FL,19,1,"$404,055"
2024,FL,21,2,"$1,974,661"
2024,FL,23,1,"$438,170"
2024,FL,26,5,"$1,346,627"
2024,FL,27,14,"$5,729,785"
2024,FL,Total,109,"$52,796,370"
2024,,Summary for Georgia by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,GA,2,2,"$606,420"
2024,GA,4,1,"$95,500"
2024,GA,5,195,"$127,512,344"
2024,GA,6,1,"$996,384"
2024,GA,10,59,"$32,153,215"
2024,GA,11,2,"$809,315"
2024,GA,12,2,"$618,488"
2024,GA,Total,262,"$162,791,666"
2024,,Summary for Hawaii by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,HI,1,6,"$2,348,244"
2024,HI,2,1,"$181,875"
2024,HI,Total,7,"$2,530,119"
2024,,Summary for Idaho by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,ID,1,3,"$1,118,712"
2024,ID,2,4,"$809,708"
2024,ID,Total,7,"$1,928,420"
2024,,Summary for Illinois by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,IL,1,70,"$43,735,780"
2024,IL,5,98,"$52,202,447"
2024,IL,6,4,"$3,694,166"
2024,IL,7,56,"$24,499,447"
2024,IL,10,5,"$1,602,566"
2024,IL,13,21,"$8,769,643"
2024,IL,14,1,"$300,000"
2024,IL,17,2,"$506,741"
2024,IL,Total,257,"$135,310,790"
2024,,Summary for Indiana by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,IN,2,19,"$10,149,144"
2024,IN,4,14,"$5,914,414"
2024,IN,6,1,"$983,736"
2024,IN,7,39,"$20,865,163"
2024,IN,9,10,"$2,867,543"
2024,IN,Total,83,"$40,780,000"
2024,,Summary for Iowa by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,IA,1,62,"$24,117,895"
2024,IA,4,13,"$6,108,627"
2024,IA,Total,75,"$30,226,522"
2024,,Summary for Kansas by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,KS,1,7,"$5,067,442"
2024,KS,3,14,"$3,462,202"
2024,KS,Total,21,"$8,529,644"
2024,,Summary for Kentucky by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,KY,2,1,"$177,467"
2024,KY,3,13,"$6,754,837"
2024,KY,6,23,"$7,833,263"
2024,KY,Total,37,"$14,765,567"
2024,,Summary for Louisiana by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,LA,1,32,"$23,272,482"
2024,LA,2,4,"$812,737"
2024,LA,3,5,"$2,825,122"
2024,LA,4,4,"$1,392,075"
2024,LA,5,1,"$72,500"
2024,LA,6,8,"$3,092,267"
2024,LA,Total,54,"$31,467,183"
2024,,Summary for Maine by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,ME,2,6,"$7,274,439"
2024,ME,Total,6,"$7,274,439"
2024,,Summary for Maryland by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,MD,1,1,"$137,648"
2024,MD,2,4,"$2,398,169"
2024,MD,3,5,"$1,849,005"
2024,MD,4,22,"$12,033,463"
2024,MD,6,24,"$55,105,689"
2024,MD,7,284,"$203,575,188"
2024,MD,8,114,"$155,548,403"
2024,MD,Total,454,"$430,647,565"
2024,,Summary for Massachusetts by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,MA,2,83,"$43,688,150"
2024,MA,3,10,"$12,587,486"
2024,MA,4,11,"$5,531,815"
2024,MA,5,31,"$23,675,070"
2024,MA,7,378,"$295,633,500"
2024,MA,8,112,"$70,760,738"
2024,MA,9,3,"$1,227,858"
2024,MA,Total,628,"$453,104,617"
2024,,Summary for Michigan by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,MI,1,1,"$186,408"
2024,MI,2,1,"$445,611"
2024,MI,3,3,"$1,499,189"
2024,MI,4,4,"$1,901,143"
2024,MI,6,82,"$44,586,512"
2024,MI,7,24,"$8,386,821"
2024,MI,11,1,"$374,998"
2024,MI,13,7,"$4,534,564"
2024,MI,Total,123,"$61,915,246"
2024,,Summary for Minnesota by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,MN,1,24,"$9,869,099"
2024,MN,4,2,"$1,302,697"
2024,MN,5,73,"$39,775,506"
2024,MN,Total,99,"$50,947,302"
2024,,Summary for Mississippi by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,MS,3,3,"$1,251,147"
2024,MS,4,2,"$259,231"
2024,MS,Total,5,"$1,510,378"
2024,,Summary for Missouri by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,MO,1,171,"$183,877,588"
2024,MO,2,6,"$776,997"
2024,MO,3,18,"$9,559,962"
2024,MO,5,6,"$4,231,480"
2024,MO,Total,201,"$198,446,027"
2024,,Summary for Montana by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,MT,1,14,"$13,117,963"
2024,MT,Total,14,"$13,117,963"
2024,,Summary for Nebraska by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,NE,1,4,"$2,183,271"
2024,NE,2,23,"$9,104,983"
2024,NE,Total,27,"$11,288,254"
2024,,Summary for Nevada by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,NV,1,4,"$1,488,712"
2024,NV,2,4,"$2,130,827"
2024,NV,Total,8,"$3,619,539"
2024,,Summary for New Hampshire by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,NH,2,31,"$14,880,013"
2024,NH,Total,31,"$14,880,013"
2024,,Summary for New Jersey by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,NJ,3,1,"$1,033,940"
2024,NJ,5,12,"$8,059,821"
2024,NJ,6,3,"$1,129,534"
2024,NJ,7,1,"$300,000"
2024,NJ,10,54,"$40,758,210"
2024,NJ,12,17,"$7,590,641"
2024,NJ,Total,88,"$58,872,146"
2024,,Summary for New Mexico by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,NM,1,15,"$5,225,381"
2024,NM,3,7,"$4,522,514"
2024,NM,Total,22,"$9,747,895"
2024,,Summary for New York by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,NY,1,20,"$7,734,382"
2024,NY,2,1,"$996,252"
2024,NY,3,11,"$9,004,951"
2024,NY,9,1,"$300,000"
2024,NY,10,12,"$10,796,691"
2024,NY,12,198,"$126,686,033"
2024,NY,13,167,"$129,148,751"
2024,NY,14,50,"$41,150,435"
2024,NY,16,2,"$1,122,400"
2024,NY,17,2,"$847,056"
2024,NY,19,42,"$20,213,402"
2024,NY,20,20,"$14,846,200"
2024,NY,22,8,"$2,889,640"
2024,NY,23,1,"$594,566"
2024,NY,25,32,"$15,590,137"
2024,NY,26,34,"$15,265,070"
2024,NY,Total,601,"$397,185,966"
2024,,Summary for North Carolina by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,NC,1,6,"$2,083,985"
2024,NC,2,13,"$11,449,355"
2024,NC,4,308,"$336,030,125"
2024,NC,5,2,"$639,546"
2024,NC,7,7,"$53,033,735"
2024,NC,10,13,"$7,463,138"
2024,NC,12,4,"$1,582,892"
2024,NC,Total,353,"$412,282,776"
2024,,Summary for North Dakota by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,ND,At-Large,2,"$767,407"
2024,ND,Total,2,"$767,407"
2024,,Summary for Ohio by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,OH,1,47,"$23,950,356"
2024,OH,3,86,"$46,429,423"
2024,OH,7,4,"$9,338,004"
2024,OH,8,1,"$427,996"
2024,OH,9,4,"$1,838,635"
2024,OH,11,51,"$28,034,823"
2024,OH,12,1,"$75,500"
2024,OH,14,1,"$77,566"
2024,OH,Total,195,"$110,172,303"
2024,,Summary for Oklahoma by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,OK,3,9,"$2,707,629"
2024,OK,4,3,"$1,027,958"
2024,OK,5,18,"$10,127,788"
2024,OK,Total,30,"$13,863,375"
2024,,Summary for Oregon by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,OR,1,51,"$32,963,327"
2024,OR,4,4,"$1,366,971"
2024,OR,Total,55,"$34,330,298"
2024,,Summary for Pennsylvania by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,PA,1,12,"$13,019,883"
2024,PA,2,35,"$19,943,516"
2024,PA,3,175,"$112,937,132"
2024,PA,4,1,"$276,715"
2024,PA,5,1,"$359,073"
2024,PA,6,8,"$14,298,969"
2024,PA,10,17,"$6,986,822"
2024,PA,12,144,"$72,336,741"
2024,PA,13,1,"$135,570"
2024,PA,14,1,"$189,375"
2024,PA,15,19,"$12,205,369"
2024,PA,Total,414,"$252,689,165"
2024,,Summary for Rhode Island by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,RI,1,18,"$9,389,598"
2024,RI,2,25,"$3,418,294"
2024,RI,Total,43,"$12,807,892"
2024,,Summary for South Carolina by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,SC,1,1,"$137,994"
2024,SC,2,1,"$297,328"
2024,SC,3,10,"$3,258,006"
2024,SC,4,5,"$3,164,628"
2024,SC,6,21,"$8,993,021"
2024,SC,Total,38,"$15,850,977"
2024,,Summary for South Dakota by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,SD,At-Large,4,"$1,267,224"
2024,SD,Total,4,"$1,267,224"
2024,,Summary for Tennessee by Congressional District,,
2024,TN,Congressional District,Awards,Funding
2024,TN,1,8,"$2,084,118"
2024,TN,2,4,"$1,761,924"
2024,TN,5,19,"$4,857,697"
2024,TN,7,77,"$92,709,399"
2024,TN,9,56,"$50,664,946"
2024,TN,Total,164,"$152,078,084"
2024,,Summary for Texas by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,TX,1,5,"$1,445,638"
2024,TX,7,1,"$398,753"
2024,TX,9,77,"$48,724,449"
2024,TX,10,41,"$14,084,539"
2024,TX,12,3,"$368,461"
2024,TX,14,47,"$79,161,347"
2024,TX,15,2,"$923,124"
2024,TX,16,3,"$1,346,082"
2024,TX,18,28,"$13,555,000"
2024,TX,19,4,"$1,311,073"
2024,TX,20,62,"$30,351,163"
2024,TX,24,8,"$2,800,147"
2024,TX,25,16,"$6,290,095"
2024,TX,30,67,"$32,319,235"
2024,TX,32,1,"$698,616"
2024,TX,Total,365,"$233,777,722"
2024,,Summary for Utah by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,UT,1,64,"$31,302,024"
2024,UT,3,1,"$369,480"
2024,UT,Total,65,"$31,671,504"
2024,,Summary for Vermont by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,VT,At-Large,12,"$5,955,719"
2024,VT,Total,12,"$5,955,719"
2024,,Summary for Virginia by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,VA,3,2,"$1,007,826"
2024,VA,4,15,"$5,896,256"
2024,VA,5,62,"$26,973,100"
2024,VA,7,1,"$416,165"
2024,VA,9,27,"$7,968,391"
2024,VA,10,12,"$24,618,029"
2024,VA,11,4,"$4,382,631"
2024,VA,Total,123,"$71,262,398"
2024,,Summary for Washington by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,WA,1,3,"$1,720,437"
2024,WA,4,1,"$92,840"
2024,WA,5,12,"$4,425,506"
2024,WA,7,309,"$403,950,322"
2024,WA,Total,325,"$410,189,105"
2024,,Summary for West Virginia by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,WV,1,1,"$74,000"
2024,WV,2,7,"$3,598,676"
2024,WV,Total,8,"$3,672,676"
2024,,Summary for Wisconsin by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,WI,2,83,"$43,601,146"
2024,WI,3,1,"$369,431"
2024,WI,4,19,"$8,604,170"
2024,WI,Total,103,"$52,574,747"
2024,,Summary for Wyoming by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,WY,At-Large,1,"$202,355"
2024,WY,Total,1,"$202,355"
